market,korean_name,english_name,market_warning,trade_price,acc_trade_price_24h,signed_change_rate,signed_change_price,trade_timestamp
KRW-WAXP,왁스,WAX,,8.97,400800689.6926724,-0.035483871,,1772283909211
KRW-CARV,카브,CARV,,85.3,2479471151.0649705,-0.0798274002,,1772283976032
KRW-LSK,리스크,Lisk,,177.0,647417694.9993175,-0.0483870968,,1772283966303
KRW-0G,제로지,0G,,880.0,25636075170.878212,-0.0517241379,,1772283970539
KRW-BORA,보라,BORA,,55.9,15398341909.231234,0.0072072072,,1772283988568
KRW-PUNDIX,펀디엑스,Pundi X,,220.0,478698265.45572805,-0.03930131,,1772283853028
KRW-USD1,월드리버티파이낸셜유에스디,World Liberty Financial USD,,1466.0,217786380.16999242,0.0034223135,,1772283831880
KRW-BAT,베이직어텐션토큰,Basic Attention Token,,152.0,1164723048.3885646,-0.0318471338,,1772283947288
KRW-HUNT,헌트,HUNT,,146.0,665041169.2958723,0.0068965517,,1772283939915
KRW-PENGU,펏지펭귄,Pudgy Penguins,,9.31,6624715276.035467,-0.0633802817,,1772283985992
KRW-FIL,파일코인,Filecoin,,1364.0,2580994697.3487945,-0.0606060606,,1772283975391
KRW-BEAM,빔,Beam,,2.64,1877256677.241428,-0.0604982206,,1772283928254
KRW-DOOD,두들즈,Doodles,,4.53,601596046.4849869,-0.0621118012,,1772283881964
KRW-WAVES,웨이브,Waves,,673.0,1472869419.4080222,-0.0426742532,,1772283968269
KRW-USDC,유에스디코인,USD Coin,,1468.0,1133235905.793823,0.0041039672,,1772283415555
KRW-MOVE,무브먼트,Movement,,30.4,8558074774.019562,-0.0349206349,,1772283980871
KRW-TREE,트리하우스,Treehouse,,99.2,2629964185.3544626,-0.0814814815,,1772283968599
KRW-USDE,유에스디이,Ethena USDe,,1466.0,86040412.80377406,0.0061770762,,1772283793950
KRW-AERGO,아르고,Aergo,,79.3,1164622665.4057698,-0.0341047503,,1772283980872
KRW-WET,휴미디파이,HumidiFi,,147.0,26917779930.58755,-0.1502890173,,1772283988886
KRW-USDT,테더,Tether,,1466.0,127327588087.8494,0.004109589,,1772283989211
KRW-2Z,더블제로,DoubleZero,,104.0,910253762.1029088,-0.0630630631,,1772283962105
KRW-BOUNTY,체인바운티,Chainbounty,,29.8,1030303458.6418383,-0.0293159609,,1772283857306
KRW-KAITO,카이토,KAITO,,465.0,5234481495.092288,-0.0643863179,,1772283963081
KRW-LPT,라이브피어,Livepeer,,3213.0,470186065.9148008,-0.0457380457,,1772283978939
KRW-BLAST,블라스트,Blast,,0.737,4183961326.3877234,-0.0277044855,,1772283985034
KRW-DKA,디카르고,dKargo,,8.2,35392882772.91138,0.2732919255,,1772283989211
KRW-ANKR,앵커,Ankr,,5.95,363448894.24062806,-0.0449438202,,1772283862626
KRW-ALGO,알고랜드,Algorand,,121.0,1683090171.1522505,-0.0472440945,,1772283912618
KRW-SHIB,시바이누,Shiba Inu,,0.00806,11366732563.49311,-0.0472813239,,1772283983116
KRW-UNI,유니스왑,Uniswap,,5275.0,3617583953.9855585,-0.0356489945,,1772283987923
KRW-BIO,바이오프로토콜,Bio Protocol,,29.8,3079481357.2320714,-0.0914634146,,1772283910236
KRW-WLFI,월드리버티파이낸셜,World Liberty Financial,,156.0,4136650077.2850575,-0.037037037,,1772283987604
KRW-TOKAMAK,토카막네트워크,Tokamak Network,,724.0,353542751.1141605,0,,1772283929886
KRW-CYBER,사이버,Cyber,,744.0,2140136848.8923824,-0.0814814815,,1772283915313
KRW-SKR,시커,Seeker,,28.9,2527152632.5006905,-0.0430463576,,1772283965650
KRW-DOGE,도지코인,Dogecoin,,130.0,43901480733.44169,-0.0510948905,,1772283987279
KRW-WLD,월드코인,Worldcoin,,544.0,3288184085.019344,-0.0456140351,,1772283981193
KRW-PEPE,페페,Pepe,,0.0051,4911510446.977115,-0.0538033395,,1772283978940
KRW-HBAR,헤데라,Hedera,,139.0,2414676417.021087,-0.0479452055,,1772283941531
KRW-BCH,비트코인캐시,Bitcoin Cash,,651000.0,7770059285.07759,-0.0348406227,,1772283966966
KRW-NEWT,뉴턴프로토콜,Newton Protocol,,100.0,9346799410.30695,-0.1150442478,,1772283967942
KRW-SEI,세이,Sei,,93.6,4957516803.693393,-0.0732673267,,1772283981193
KRW-BONK,봉크,Bonk,,0.0082,1672918645.6825786,-0.0520231214,,1772283931177
KRW-JST,저스트,JUST,,68.8,1305724592.8460891,-0.0072150072,,1772283988888
KRW-AAVE,에이브,Aave,,155700.0,1975153725.201755,-0.0569351908,,1772283965006
KRW-JTO,지토,Jito,,373.0,1385007334.6000695,-0.0812807882,,1772283849469
KRW-JUP,주피터,Jupiter,,215.0,691353947.3219342,-0.0358744395,,1772283857307
KRW-FLOW,플로우,Flow,,59.5,10241811049.538488,-0.0434083601,,1772283985360
KRW-ALT,알트레이어,Altlayer,,10.1,4454746165.267419,-0.0818181818,,1772283980874
KRW-LAYER,솔레이어,Solayer,,141.0,58310574950.95908,0.0846153846,,1772283989214
KRW-TRX,트론,TRON,,411.0,4165508630.228944,-0.004842615,,1772283969242
KRW-POWR,파워렛저,Power ledger,,88.6,561606367.3015052,-0.0263736264,,1772283796570
KRW-ATOM,코스모스,Cosmos,,2622.0,1817950069.9647143,-0.029607698,,1772283988890
KRW-ARKM,아캄,Arkham,,147.0,705910918.4863967,-0.0696202532,,1772283909222
KRW-CRO,크로노스,Cronos,,106.0,885829182.3469658,-0.045045045,,1772283989217
KRW-NXPC,넥스페이스,Nexpace,,389.0,2020341520.0648458,-0.0347394541,,1772283961463
KRW-A,볼타,Vaulta,,111.0,890361396.8665658,-0.0512820513,,1772283852389
KRW-TRUMP,오피셜트럼프,Official Trump,,4769.0,1872651321.6018167,-0.0402495472,,1772283982153
KRW-F,신퓨처스,SynFutures,,8.04,2475961967.7914057,-0.0618436406,,1772283980233
KRW-G,그래비티,Gravity,,4.88,628448699.4633639,-0.0355731225,,1772283902494
KRW-CELO,셀로,Celo,,108.0,1538511097.8217475,-0.0689655172,,1772283981836
KRW-AERO,에어로드롬파이낸스,Aerodrome Finance,,463.0,323380556.5998003,-0.0665322581,,1772283703623
KRW-CTC,크레딧코인,Creditcoin,,226.0,1904871277.6777036,-0.0504201681,,1772283976359
KRW-ANIME,애니메코인,Animecoin,,6.92,11621689650.617882,-0.068640646,,1772283985995
KRW-APT,앱토스,Aptos,,1290.0,2530686445.6135435,-0.0563277249,,1772283928265
KRW-MOCA,모카네트워크,Moca Network,,22.6,1256878659.7363605,-0.0423728814,,1772283550928
KRW-API3,에이피아이쓰리,API3,,399.0,1000030701.2859969,-0.0742459397,,1772283969890
KRW-AHT,아하토큰,AhaToken,,2.33,1156784344.0397954,0.0309734513,,1772283888542
KRW-EGLD,멀티버스엑스,MultiversX,,6160.0,334886638.2762436,-0.0508474576,,1772283892131
KRW-ERA,칼데라,Caldera,,205.0,1757547935.56758,-0.0681818182,,1772283980875
KRW-FF,팔콘파이낸스,Falcon Finance,,114.0,857443034.4672327,-0.0086956522,,1772283803071
KRW-PLUME,플룸,Plume,,12.8,3014511055.3088264,-0.0588235294,,1772283970867
KRW-ESP,에스프레소,Espresso,,169.0,9326167516.726564,-0.0864864865,,1772283965338
KRW-NEO,네오,NEO,,3735.0,865385453.0915036,-0.0582450832,,1772283782284
KRW-ETC,이더리움클래식,Ethereum Classic,,12040.0,3748722832.1091595,-0.0467141726,,1772283987281
KRW-IOTA,아이오타,IOTA,,94.1,1204547599.001763,-0.0417515275,,1772283984714
KRW-IOST,아이오에스티,IOST,,1.64,421967928.79445314,-0.0465116279,,1772283889201
KRW-AKT,아카시네트워크,Akash Network,,423.0,1497876420.4899082,-0.0536912752,,1772283814733
KRW-COW,카우프로토콜,CoW Protocol,,296.0,231831420.48901117,-0.0482315113,,1772283953714
KRW-VIRTUAL,버추얼프로토콜,Virtuals Protocol,,928.0,22793858642.154915,-0.072,,1772283983445
KRW-ETH,이더리움,Ethereum,,2738000.0,166529557075.59488,-0.0290780142,,1772283989218
KRW-IQ,아이큐,IQ.wiki,,1.68,508335374.51923245,-0.0059171598,,1772283929570
KRW-IP,스토리,Story,,1290.0,13821061874.674942,-0.0652173913,,1772283974422
KRW-NEAR,니어프로토콜,NEAR Protocol,,1541.0,3313006784.2123666,-0.0362726704,,1772283985363
KRW-RVN,레이븐코인,Ravencoin,,8.03,688646047.5719492,-0.0485781991,,1772283932487
KRW-AGLD,어드벤처골드,Adventure Gold,,328.0,4756189975.146871,-0.1086956522,,1772283949860
KRW-ID,스페이스아이디,SPACE ID,,61.7,1805683213.7338395,-0.0522273425,,1772283942806
KRW-IN,인피닛,Infinit,,97.0,1269057517.1541557,-0.03,,1772283917663
KRW-NOM,노미나,Nomina,,6.05,4908978927.634128,-0.0805471125,,1772283987608
KRW-WAL,월러스,Walrus,,105.0,324987340.4709092,-0.0540540541,,1772283838197
KRW-PENDLE,펜들,Pendle,,1737.0,9940270658.625568,-0.0528898582,,1772283985680
KRW-BLUR,블러,Blur,,27.7,1802001782.1514385,-0.0546075085,,1772283944094
KRW-AWE,에이더블유이,AWE Network,,75.4,3006767708.365541,-0.030848329,,1772283951138
